Frame ID,Place,Dedication,Region,Tower ID,Grid Ref,Latitude,Longitude,Frame Number,Frame Date,Listed,Materials,Maker,Maker Uncertain,Trusses,Layout,Resultant Layout,Num Extensions
5923,Sedgley,All Saints,West Midlands,13370,SO917936,52.54040,-2.12290,1,1975,,cast iron,John Taylor & Co,,8.3.A.h,8.3,,0
5924,Sedlescombe,S John Bapt,East Sussex,10319,TQ777187,50.94122,0.52799,1,1929,,pyinkado,Mears & Stainbank,Y,6.A,,,0
5925,Seething,S Margaret,Norfolk,13922,TM319979,52.52998,1.41834,1,c1499,,oak,,,,,,0
5927,Sefton,S Helen,Merseyside,11163,SD356012,53.50438,-2.97144,2,,,cast iron,,,,,,0
5926,Sefton,S Helen,Merseyside,11163,SD356012,53.50438,-2.97144,1,,,cast iron,,,,,,0
5928,Selattyn,S Mary V,Shropshire,16769,SJ266340,52.89862,-3.09224,1,,,timber,,,6.A,3.3,6.5,1
5929,Selattyn,S Mary V,Shropshire,16769,SJ266340,52.89862,-3.09224,1.1,c1897,,cast iron;oak,Charles Carr,,7.B.b,3.1,,
5930,Selborne,S Mary,Hampshire,16706,SU741337,51.09849,-0.94306,1,1979,,cast iron,Whitechapel Bell Foundry,,,8.3,,1
5931,Selborne,S Mary,Hampshire,16706,SU741337,51.09849,-0.94306,1.1,2006,,cast iron,Matthew Higby & Co,,,,,
5934,Selby,S James Ap,North Yorkshire,17362,SE612322,53.78257,-1.07150,2,1949,,cast iron;steel,Gillett & Johnston,,,,,0
5933,Selby,S James Ap,North Yorkshire,17362,SE612322,53.78257,-1.07150,1,1949,,cast iron;steel,Gillett & Johnston,,,,,0
5932,Selby,Abbey Ch of S Mary & S Germain,North Yorkshire,14413,SE615323,53.78414,-1.06707,1,1908,,cast iron;steel,John Taylor & Co,,8.2.A.a,,,0
